Port,Protocol,Count
43558,iplt,1
46380,unknown,1
31067,sctp,11
38712,tcp,7
62537,unknown,1
30804,esp,7
13964,scc-sp,1
29525,vrrp,3
60127,pim,8
8797,xnet,10
3173,pim,11
3382,sctp,7
19022,unknown,1
1193,iso-ip,1
34444,xnet,9
1424,udp,7
15262,pim,13
47062,unknown,1
58063,manet,1
38291,tcp,14
44189,icmp,16
56235,tcp,9
54323,unknown,1
37209,swipe (deprecated),1
1794,xnet,10
53030,gre,8
57976,larp,16
58898,tcp,4
6013,ah,10
59375,ospfigp,11
5354,pgm,1
470,igmp,9
61731,scc-sp,1
19799,sctp,8
60292,tcp,14
51810,manet,1
53595,eigrp,10
58362,vines,1
10461,larp,3
36186,pim,13
3794,eigrp,13
55211,gre,7
4490,unknown,1
53927,unknown,1
41463,gre,16
31104,nsfnet-igp,1
18844,unknown,1
45275,ipx-in-ip,1
31191,gmtp,1
60802,vrrp,20
13328,ddp,13
55409,sctp,7
11903,unknown,1
11345,eigrp,11
42925,igmp,14
49881,igmp,3
55414,srp,1
56176,unknown,1
55776,a/n,1
30703,mtp,10
45275,ddp,5
3569,ospfigp,10
59820,igmp,11
65241,pim,6
52881,sctp,10
24883,ospfigp,12
35419,bna,1
22679,gre,10
50639,unknown,1
15772,rvd,1
57824,udp,7
18175,unknown,1
22179,pim,7
20942,pim,9
23047,il,10
54547,pim,8
44144,unknown,2
60519,unknown,1
62380,ospfigp,12
6305,unknown,1
16540,unknown,1
41310,gre,9
35962,ospfigp,12
56852,ptp,1
45802,dgp,1
4214,cphb,1
53732,qnx,1
36731,icmp,5
5542,unknown,1
11235,dgp,1
55413,igmp,10
24292,igmp,7
49450,unknown,1
18481,tcp,5
13405,sdrp,1
32103,udp,13
49694,tcp,9
18751,eigrp,7
40501,mobility header,1
48939,sctp,6
37910,icmp,10
31209,unknown,1
28635,ipx-in-ip,1
10415,unknown,1
58564,unknown,1
37415,unknown,1
20311,narp,1
23248,crtp,1
63820,unknown,1
12361,gre,10
43119,tcp,1
40387,igmp,15
17678,nsh,7
6164,wesp,1
34926,icmp,9
16042,icmp,11
21629,larp,1
65004,larp,11
50135,unknown,1
53838,ospfigp,6
38627,sctp,8
34211,unknown,1
54428,ipv6-frag,1
55999,xnet,10
2705,unknown,1
6804,ospfigp,12
56714,igmp,7
65229,sctp,6
47783,pup,1
58295,tp++,1
49148,unknown,1
4944,icmp,12
39073,sctp,10
5852,xns-idp,1
13753,ipx-in-ip,9
61599,merit-inp,1
52935,mtp,14
35970,unknown,1
41895,udp,15
24032,unknown,1
53310,igmp,10
45404,min-ipv4,1
22735,udp,10
55864,unknown,1
3876,unknown,1
40222,crudp,1
11016,unknown,1
23232,igmp,9
44868,icmp,9
11244,udp,11
24236,udp,13
49220,ah,14
35734,pvp,1
44879,ipv6-frag,1
14675,micp (deprecated),1
42902,vrrp,11
18421,unknown,1
14853,gre,10
30943,tcp,10
234,ospfigp,5
47931,egp,1
24248,trunk-2,1
42751,tcp,6
40859,eigrp,15
15743,vrrp,9
17827,larp,10
27238,udp,4
48393,igmp,11
47109,ddp,4
4844,eigrp,9
11411,ddp,11
40891,ospfigp,9
61140,wb-expak,1
43191,sctp,8
4838,mtp,5
45296,tcp,9
2061,ddp,6
48765,unknown,1
48411,gre,3
4787,gre,11
14281,ipv6-opts,1
16086,unknown,1
40620,ospfigp,13
12863,udp,8
22144,xnet,10
59304,egp,1
14553,icmp,10
32503,manet,1
7486,icmp,12
23854,unknown,1
23461,ethernet,1
40341,rdp,10
12190,eigrp,6
42314,eigrp,8
6247,ddp,1
29386,pim,6
22106,mobility header,1
28952,pim,8
30664,unknown,1
48889,unknown,1
1655,icmp,9
6657,unknown,1
12262,min-ipv4,1
46473,sctp,8
14719,ospfigp,5
57374,pim,8
31033,xnet,12
32562,sctp,13
25489,unknown,1
32940,etherip,1
24864,mobility header,1
17493,unknown,1
23168,eigrp,6
44832,udp,5
52875,unknown,1
7430,nsh,9
41606,unknown,1
37807,etherip,1
44866,unknown,1
18692,unknown,1
64210,gre,1
7289,ptp,1
15439,ddp,18
19008,icmp,11
29429,sctp,3
45918,unknown,1
36339,eigrp,8
21064,sctp,4
3038,eigrp,12
14285,sctp,12
55940,ospfigp,1
31152,icmp,7
61326,dccp,1
32246,unknown,1
1661,larp,10
29216,vrrp,9
60578,irtp,1
23694,ospfigp,10
49390,pim,9
61637,sctp,12
2898,icmp,11
24263,ddp,8
47802,vrrp,6
6826,leaf-1,1
20717,encap,1
12696,ospfigp,5
65169,3pc,1
22552,igmp,6
62251,unknown,1
2182,rdp,1
41900,il,7
64275,vrrp,3
18626,unknown,1
51471,unknown,1
43320,ospfigp,1
49470,ethernet,1
13885,ospfigp,1
56293,sctp,10
19399,vrrp,12
20125,ospfigp,9
40223,sps,1
37862,il,1
558,ah,1
7124,unknown,1
21111,eigrp,9
44648,unknown,1
30677,il,8
21445,udp,10
58271,igmp,9
51957,ospfigp,9
54591,vrrp,13
8009,pim,1
55003,udp,7
43890,ospfigp,11
8060,ipx-in-ip,10
34933,unknown,2
62502,pim,9
